OBJECTID,ID,CNAME,CNAME_S,ENAME,Shape__Area,Shape__Length
1,1,黃大仙區,黄大仙区,WONG TAI SIN,10927836.5917969,17995.6407816191
2,6,九龍城區,九龙城区,KOWLOON CITY,11842856.2558594,31834.409404422
3,7,觀塘區,观塘区,KWUN TONG,13221241.3144531,25496.7001639176
4,8,西貢區,西贡区,SAI KUNG,160294419.777344,365545.476363366
5,11,北區,北区,NORTH,161918446.792969,192815.532996074
6,13,中西區,中西区,CENTRAL & WESTERN,14604578.8769531,26733.7008643114
7,14,灣仔區,湾仔区,WAN CHAI,11614897.9023438,19548.0752977317
8,15,東區,东区,EASTERN,21842113.2226563,36188.4566662104
9,17,屯門區,屯门区,TUEN MUN,99210907.7792969,99074.9324411342
10,18,元朗區,元朗区,YUEN LONG,164876791.396484,91328.8561912303
11,16,南區,南区,SOUTHERN,46449336.9433594,112548.313474808
12,2,離島區,离岛区,ISLANDS,209285766.205078,352295.332948838
13,4,深水埗區,深水埗区,SHAM SHUI PO,11008148.9589844,28395.3063120678
14,5,油尖旺區,油尖旺区,YAU TSIM MONG,8227532.83789063,23294.538692707
15,3,葵青區,葵青区,KWAI TSING,27417888.1484375,56502.1676573617
16,12,荃灣區,荃湾区,TSUEN WAN,73361744.5351563,95321.1315447104
17,9,大埔區,大浦区,TAI PO,174277984.107422,232672.740451271
18,10,沙田區,沙田区,SHA TIN,81294739.2363281,56848.2079493512
